music_id,name,total_playing_time,listen_start_time,detail,sheet_id,cue_id
128,"牧場的四農士　貧窮農場奮鬥記！",1:00,0:00,"故事劇情主題曲\n-｢Heartful Place｣編曲-\n\n時間 / 01:00\n作曲 / 小野貴光\n編曲 / 淺田美咲（Cygames）",bgm_M351,bgm_M351_juke
129,"忍者首領半藏",1:56,0:00,"故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）",bgm_M354,bgm_M354_juke
130,"Heartful Place",1:19,0:46,"角色歌曲\n\n時間 / 01:19\n演唱　 / 真陽（新田恵海）\n　　　鈴（小岩井ことり）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋",bgm_M379,bgm_M379
131,"不可思議之國的璃乃 小小愛麗絲與希望的繪本",0:52,0:00,"故事劇情主題曲\n-｢童話故事就在夢中｣編曲-\n\n時間 / 00:52\n作曲 / 篠崎あやと\n編曲 / 東大路憲太",bgm_M375,bgm_M375_juke
132,"暗黑之王賈巴沃克",1:21,0:00,"故事劇情BOSS戰\n\n時間 / 01:21\n作曲 / 田山里奈\n編曲 / 田山里奈",bgm_M378,bgm_M378_juke
133,"童話故事就在夢中",1:29,0:51,"角色歌曲\n\n時間 / 01:29\n演唱　 / 璃乃（阿澄佳奈）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと",bgm_M389,bgm_M389
134,"幽靜森林",1:04,0:00,"主線冒險\n\n時間 / 01:04\n作曲 / 澤下葵\n編曲 / 澤下葵",bgm_M374,bgm_M374_juke
135,"七夕劍客旅情譚 天際川流夏之戀",1:08,0:00,"故事劇情主題曲\n-｢黃昏太平旅路歌｣編曲-\n\n時間 / 01:08\n作曲 / 渡部チェル\n編曲 / 中村早織(Cygames)",bgm_M380A,bgm_M380A_juke
136,"覺醒‧花心星",3:16,0:00,"故事劇情BOSS戰\n\n時間 / 03:16\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)",bgm_M384,bgm_M384_juke
137,"黃昏太平旅路之歌",1:27,0:49,"角色歌曲\n\n時間 / 01:27\n演唱　 / 流夏（佐藤利奈）\n作詞 / 絵伊子、野村イクミ（Cygames）\n作曲 / 渡部チェル\n編曲 / 渡部チェル",bgm_M402,bgm_M402
